"96","229"
"97","229"
"97","229"
"97","229"
"97","228"
"97","228"
"98","228"
"98","228"
"98","228"
"98","227"
"98","227"
"98","227"
"99","227"
"99","227"
"99","226"
"99","226"
"100","226"
"100","226"
"101","226"
"101","226"
"102","226"
"103","226"
"103","226"
"104","227"
"105","227"
"106","227"
"108","228"
"109","228"
"110","228"
"112","229"
"113","230"
"115","230"
"117","231"
"118","231"
"120","232"
"122","233"
"124","234"
"126","234"
"128","235"
"130","236"
"132","237"
"135","238"
"137","239"
"139","240"
"142","241"
"145","243"
"147","244"
"150","245"
"153","247"
"157","248"
"160","250"
"164","251"
"168","253"
"172","255"
"176","258"
"181","260"
"186","262"
"190","265"
"195","267"
"200","268"
"206","265"
"211","263"
"216","260"
"221","258"
"227","256"
"232","253"
"238","251"
"243","248"
"249","246"
"254","244"
"260","241"
"265","239"
"271","237"
"277","235"
"283","233"
"289","231"
"296","229"
"302","227"
"308","225"
"314","223"
"320","221"
"326","219"
"333","217"
"339","215"
"345","213"
"351","212"
"357","210"
"355","208"
"349","206"
"343","204"
"337","202"
"330","200"
"324","198"
"318","196"
"312","194"
"306","192"
"299","190"
"293","188"
"287","186"
"280","184"
"274","182"
"268","180"
"262","178"
"256","176"
"251","175"
"245","173"
"239","171"
"234","170"
"228","168"
"223","166"
"217","165"
"211","163"
"206","162"
"201","160"
"195","159"
"190","157"
"184","156"
"179","154"
"173","152"
"168","151"
"163","149"
"157","148"
"152","146"
"147","145"
"142","144"
"137","142"
"132","141"
"127","140"
"123","139"
"119","138"
"115","138"
"111","137"
"107","136"
"103","136"
"99","135"
"96","135"
"92","134"
"89","134"
"86","133"
"83","133"
"80","133"
"77","133"
"74","133"
"71","133"
"69","133"
"66","133"
"64","133"
"61","133"
"59","134"
"57","134"
"55","134"
"53","135"
"51","135"
"49","135"
"47","136"
"45","136"
"43","136"
"40","137"
"38","137"
"36","137"
"34","137"
"32","138"
"29","138"
"27","138"
"25","138"
"22","139"
"20","139"
"18","139"
"15","139"
"13","139"
"10","139"
"8","139"
"5","140"
"3","140"
"0","140"
"5","140"
"7","140"
"9","140"
"12","140"
"14","140"
"17","140"
"19","140"
"22","140"
"24","140"
"26","140"
"29","140"
"31","140"
"33","140"
"35","140"
"38","140"
"40","140"
"42","140"
"44","140"
"46","140"
"49","140"
"51","140"
"53","139"
"55","139"
"57","139"
"59","139"
"61","139"
"63","139"
"65","139"
"68","139"
"70","139"
"72","139"
"75","139"
"78","139"
"81","139"
"83","140"
"86","140"
"89","140"
"93","141"
"96","141"
"99","142"
"103","143"
"106","143"
"110","144"
"114","145"
"118","146"
"121","146"
"125","147"
"129","148"
"133","149"
"137","150"
"140","151"
"144","151"
"148","152"
"152","153"
"156","154"
"159","155"
"163","156"
"167","156"
"171","157"
"175","158"
"179","159"
"182","160"
"186","161"
"190","162"
"194","162"
"198","163"
"202","164"
"206","165"
"210","166"
"214","167"
"218","168"
"222","169"
"226","170"
"230","171"
"234","172"
"238","173"
